Centri Commerciali, Supermercati e Grandi Magazzini;Zuiki c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0432-461XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Lung'Aussa,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-323XX;45.82XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6374XX;45.63XXX 13.77XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via della Ferrovia Vecchia X,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-3865XX;45.81XXX 13.35XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Tessitura XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5527XX;45.95XXX 12.64XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Principale XX,;33040;TORREANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7120XX;46.1XXX 13.43XXX;info@federweb.com;
Energia Solare ed Energie Alternative - Impianti e Componenti        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Varmo XX, Rivignano;;RIVIGNANO TEOR ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8239XX;45.87XXX 13.0XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Piazzale Gian Luigi Bernini X,;33072;CASARSA DELLA DELIZIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8689XX;45.94XXX 12.83XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Piazzale Franco Marinotti X/A,;33050;TORVISCOSA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-9286XX;45.82XXX 13.28XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Ciotti XXX, Grizzo;33086;MONTEREALE VALCELLINA ;(PN) ;    FRIULI VENEZIA GIULIA;0427-7971XX;46.15XXX 12.65XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Viale Foramitti XX,;;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7043XX;46.09XXX 13.42XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Cesare Battisti XX,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8209XX;45.96XXX 12.97XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Monte Grappa XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5457XX;46.07XXX 13.24XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Giosue' Carducci X,;33080;ROVEREDO IN PIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9460XX;46.01XXX 12.61XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Largo della Marcelliana X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7234XX;45.79XXX 13.52XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Viale Venezia Giulia XX,;;CORMONS ;(GO) ;    FRIULI VENEZIA GIULIA;0481-612XX;45.95XXX 13.46XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Pradamano XX,;;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6253XX;46.05XXX 13.2XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via della Tesa XX,;;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-94945XX;45.63XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Arturo Malignani X,;;PRECENICCO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-5889XX;45.79XXX 13.0XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Giosuè Carducci XX,;;ROVEREDO IN PIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9460XX;46.00XXX 12.61XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Giovanni Pierluigi da Palestrina X,;;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-37203XX;45.65XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via dei Ponti X,;;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-505XX;46.11XXX 12.8XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Udine X,;;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9477XX;46.18XXX 13.06XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Piazza Camillo Benso di Cavour XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-404XX;45.81XXX 13.53XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Piazza del Grano XX,;;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-6697XX;45.83XXX 13.21XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Monte Grappa XX,;33080;SAN QUIRINO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9195XX;46.03XXX 12.67XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Viale della Vittoria,;;MANIAGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-7010XX;46.16XXX 12.70XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Nuova di Corva XX/A,;;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5708XX;45.94XXX 12.66XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Largo a. Roiano X,;;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-4148XX;45.66XXX 13.76XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Narvesa Gasparo X,;;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6615XX;46.06XXX 12.59XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Molin X,;33057;PALMANOVA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9293XX;45.90XXX 13.31XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Giuseppe Verdi XX,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6402XX;45.88XXX 12.71XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Luigi Burgi XX,;33013;GEMONA DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8984XX;46.27XXX 13.1XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Antonio Peruch X,;;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7303XX;45.95XXX 12.4XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Viale Franco Martelli XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-286XX;45.95XXX 12.66XXX;info@federweb.com;
Cooperative Consumo        Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via di Cavana XX/B,;;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-32205XX;45.64XXX 13.76XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Antonio da Pordenone X,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6601XX;46.0XXX 12.59XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Viale dei Campi Elisi XX,;34143;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3024XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coop;Via Giovanni Boccaccio XX,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;XX;45.94XXX 13.62XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Contigo c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4100XX;46.08XXX 13.17XXX;info@federweb.com;
Abbigliamento Sportivo - Produzione, Ingrosso        Centri Commerciali, Supermercati e Grandi Magazzini;Conte of Florence c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6414XX;46.0XXX 13.27XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Conte of Florence;SpXXX X,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8363XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Consorzio le Valli di Carnia;Zona Industriale X,;33020;AMARO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-22XX;46.37XXX 13.07XXX;info@federweb.com;
Centri Commerciali        Centri Commerciali, Supermercati e Grandi Magazzini;Consorzio Centro Commerciale Friuli;Via Nazionale, XXX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5742XX;46.11XXX 13.22XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conforama c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6463XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conbipel c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-914XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conbipel c/o Terminal Nord;Via Tricesimo XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4823XX;46.09XXX 13.23XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conbipel c/o Montedoro Shopping Center;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-92351XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conbipel c/o Gran Fiume Shopping;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-0397XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conbipel c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4109XX;46.08XXX 13.17XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Conbipel;Via Nazionale XXX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6888XX;46.1XXX 13.2XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad Superstore San Vito;Via Guglielmo Oberdan, XX,;33078;SAN VITO AL TAGLIAMENTO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8339XX;45.909XXX 12.86XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad Superstore Duino;Via Duino, X/F,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2083XX;45.77XXX 13.60XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad Superstore;Via Ilaria Alpi X,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6404XX;45.89XXX 12.69XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad Superstore;Via Arrigo Boito,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4140XX;45.80XXX 13.54XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad Superstore;Via Roveredo XX,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5932XX;45.97XXX 12.61XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad Nova Srl;Strada per Vienna, XX,;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2154XX;45.690XXX 13.801XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad Grigoletti Srl;Via Peperate,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6404XX;45.89XXX 12.69XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad City;Via Pier Paolo Vergerio XX,;34138;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-98948XX;45.64XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad City;Via Camillo Conte di Panciera XXX,;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5744XX;45.95XXX 12.7XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad City;Via Gioacchino Rossini X, Vigonovo;33074;FONTANAFREDDA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9973XX;45.98XXX 12.54XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad City;Via Vittorio Veneto XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5046XX;46.06XXX 13.23XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad City;Via Capitello XX,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6251XX;45.84XXX 12.61XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad Brugnera S.r.l.;Via Ungheresca XX,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6079XX;45.91XXX 12.54XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad - Supermercato;Viale XX Settembre XX,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3706XX;45.65XXX 13.78XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad;Via Leonardo da Vinci X,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-6207XX;45.83XXX 13.21XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad;Via Quarto Genova,;33050;POZZUOLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6653XX;45.98XXX 13.20XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Conad;Localita' Sistiana XX/H, Sistiana;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2914XX;45.77XXX 13.62XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Comprabene Spa;Via Vittorio Veneto XX,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6619XX;46.07XXX 12.58XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Comprabene Spa;Via Coletti XX,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6289XX;45.84XXX 12.62XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Comprabene Spa;Via Giovanni Pascoli X,;33017;TARCENTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7938XX;46.21XXX 13.21XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Comprabene Spa;Piazzale Viii Marzo X,;34077;RONCHI DEI LEGIONARI ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4757XX;45.XXX 13.50XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Comprabene Spa;Via Alfieri Vittorio XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2925XX;46.06XXX 13.24XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Colugna Market di Cuttini Franca;Via Colugna XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-423XX;46.08XXX 13.21XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Colmata S.n.c. di Marocco Marco & c.;Via Tasso t. XX,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-8770XX;45.68XXX 13.38XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Coin;Corso Vittorio Emanuele XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2414XX;45.95XXX 12.65XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Cogo Mariella & c. (S.n.c.);Via Roma XX,;33070;CANEVA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7990XX;45.97XXX 12.45XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Co.a.la.;Via Battisti Cesare X,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-34799XX;45.65XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Cmp c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0424-19014XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Click c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5446XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Clayton c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0432-4013XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Clayton c/o Montedoro Shopping Center;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-92352XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Clayton c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4013XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Claro c/o Gran Fiume Shopping;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9588XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;City Game Gallery - Sala Bingo-Sala Slot c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0423-4102XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Citta' Flora c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-54444XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Cisalfa Sport c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5022XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Cisalfa Sport c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4142XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Cine Citta' Fiera c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4104XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Cinadrago c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5432XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ciesseci Spa;Via Vittorio Bachelet X/F,;33050;BAGNARIA ARSA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9206XX;45.89XXX 13.31XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Chicco c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;339-89002XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Chic&Pop c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-910XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Chic&Pop c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5416XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Chi'c Accent c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;041-58451XX;45.8XXX 13.43XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Cherubin Iderna;Piazza Municipio X, Arzene;33098;VALVASONE ARZENE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-893XX;46.00XXX 12.84XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Chen Lucia;Corso Vittorio Emanuele ii XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-283XX;45.95XXX 12.65XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Chen Lucia;Vicolo s. Antonio X,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2087XX;45.95XXX 12.65XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Chen ai Dong;Via Vittorio Veneto XXX,;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-28XX;46.50XXX 13.58XXX;info@federweb.com;
Abbigliamento Sportivo - Produzione, Ingrosso        Centri Commerciali, Supermercati e Grandi Magazzini;Champion c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6400XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Champion c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6400XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Cescutti dr. Massimo;Via della Prefettura X,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2040XX;46.06XXX 13.23XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Ceolin Antonio e c. (S.n.c.);Via Rosselli Fratelli X,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-715XX;45.94XXX 12.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Spesa Alimentare di Valle Carlo;;33026;PALUZZA ;(UD) ;    FRIULI VENEZIA GIULIA;0433-7757XX;46.53XXX 13.0XXX;info@federweb.com;
Lavanderie a Secco        Centri Commerciali, Supermercati e Grandi Magazzini;Centro Lavasecco Agos di Romeo Francesca;Localita' Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9183XX;45.8XXX 13.43XXX;info@federweb.com;
Lavanderie a Secco        Centri Commerciali, Supermercati e Grandi Magazzini;Centro Lavasecco Agos di Agostinetto Roberto & c. - S.n.c.;Via Musile X,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5225XX;45.95XXX 12.69XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Trieste S.r.l.;Via Bonomo X/X,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-5784XX;45.65XXX 13.79XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Trieste S.r.l.;Via Giulia XX/X,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-98399XX;45.65XXX 13.79XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount Spa;Via Cartotecnica XX,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-440XX;46.39XXX 13.02XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount Spa;Via Celio Nanino XX,;33010;REANA DEL ROJALE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6656XX;46.14XXX 13.22XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount Spa;Via Maestra Vecchia XXX/X,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-17300XX;45.9XXX 12.68XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount Spa;Via Cavour X,;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-4191XX;46.11XXX 12.89XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount Spa;;;;0431-962XX;45.80XXX 13.4XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount S.r.l.;;;;0431-9709XX;45.80XXX 13.4XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount S.r.l.;Via Taboga XXX,;33013;GEMONA DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9716XX;46.27XXX 13.10XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount;Viale Liberta' XX,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6691XX;46.09XXX 13.42XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount;Via Maestra Vecchia XXX/X,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0432-6691XX;45.9XXX 12.68XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Centro Commerciale Discount;;;;0432-6691XX;45.80XXX 13.4XXX;info@federweb.com;
