Ristoranti;Pizzeria Nonna Rosa di Rotello Sharon;Via Timeus Ruggero /D,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;340-57396;45.6 13.78;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Antica Osteria al Sabotino di Mauro Gubana;Via Caprin Giuseppe ,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-311;45.95 13.6;info@federweb.com;
Ristoranti;Ml 2 Srl;Corso Vittorio Emanuele ii /C,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2474;45.95 12.65;info@federweb.com;
Ristoranti;Antica Sartoria di Napoli;Via Torino ,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3102;45.64 13.76;info@federweb.com;
Ristoranti;Agli Artisti;Piazza Uffici ,;33015;MOGGIO UDINESE ;(UD) ;    FRIULI VENEZIA GIULIA;335-70505;46.40 13.19;info@federweb.com;
Ristoranti;Gabin Food Srl;Piazza Giacomo Matteotti ,;33037;PASIAN DI PRATO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6997;46.05 13.18;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria Pulesi;Vicolo Pulesi ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5095;46.06 13.23;info@federweb.com;
Ristoranti;Pizzeria Ristorante "al Fogolar" Bar - Ristorante - Pizzeria - al Fogolar;V. Udine ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5730;46.06 13.23;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Kraljic Sergio;Localita' Prebenico ,;34018;SAN DORLIGO DELLA VALLE ;(TS) ;    FRIULI VENEZIA GIULIA;327-07563;45.58 13.84;info@federweb.com;
Ristoranti;Oishii;Via Nove Giugno ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-0956;45.80 13.53;info@federweb.com;
Ristoranti;Zoccolan Ferruccio  c. Snc;Via Isernicco , Rivignano;33061;RIVIGNANO TEOR ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7759;45.88 13.06;info@federweb.com;
Ristoranti;Ristorante al Biathlon di Pallober Anna;Localita' Casolare Piani di Luzza ,;33020;FORNI AVOLTRI ;(UD) ;    FRIULI VENEZIA GIULIA;0433-723;46.57 12.74;info@federweb.com;
Alberghi        Ristoranti;Al Grop;Via Giacomo Matteotti ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6602;46.12 13.20;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Dam Ristorazione Srl;Via del Cotonificio ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-431;46.08 13.21;info@federweb.com;
Ristoranti;Peric Katjusa;Via Preseren ,;34070;DOBERDÒ DEL LAGO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-781;45.86 13.55;info@federweb.com;
Ristoranti;Enoteca la Cantina;Piazza Italia ,;33085;MANIAGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-9523;46.17 12.70;info@federweb.com;
Ristoranti;Sakura Monfalcone s.a.s. di wu Zheng;Via dei Bagni ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;331-94193;45.79 13.52;info@federweb.com;
Ristoranti;Cheng Guanghui;Via Cellini Benvenuto ,;34132;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3631;45.65 13.7;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Poeta;Via Zona Sacra , San Martino del Carso;34078;SAGRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-999;45.87 13.53;info@federweb.com;
Ristoranti;Huang Jun;Via di Servola ,;34146;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-8220;45.62 13.78;info@federweb.com;
Congressi e Conferenze - Organizzazione e Servizi        Ristoranti;Castello di;Via Nazionale, ,;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9480;46.1 13.06;info@federweb.com;
Ristoranti;Cavallino;Via Guglielmo Marconi ,;33027;PAULARO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-708;46.53 13.11;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Crosere;Via Crosere ,;33053;LATISANA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-5215;45.7 13.02;info@federweb.com;
Ristoranti;Mille e Una Notte;Viale xx Settembre ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3687;45.65 13.77;info@federweb.com;
Ristoranti;Morocutti Pierino;;;;0433-7771;46.5 13.07;info@federweb.com;
Alberghi        Ristoranti;La Quercia S.r.l.;Via Piave ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-7214;45.68 13.12;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Alla Frasca;Via Roma ,;33056;PALAZZOLO DELLO STELLA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-580;45.80 13.0;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria al Poc;Via Fontanini ,;33038;SAN DANIELE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9579;46.15 13.00;info@federweb.com;
Ristoranti;Al Cison;Via San Valentino ,;33020;AMARO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4686;46.37 13.;info@federweb.com;
Ristoranti;I-Sushi Pordenone;Via Beato Odorico ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5218;45.96 12.65;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria al Panorama;Piazza del Gruagno ,;33030;MORUZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6728;46.11 13.15;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria al Cacciatore;Via ii Dicembre , Cergneu;33045;NIMIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7900;46.21 13.31;info@federweb.com;
Ristoranti;Amore Srl;Via Mazzini Giuseppe ,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7333;45.95 12.50;info@federweb.com;
Ristoranti;Franco & Loris S.r.l.;Via Fornace ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6211;45.96 12.68;info@federweb.com;
Ristoranti;La Dal Barbe;Via Guglielmo Marconi ,;33050;PORPETTO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-604;45.85 13.21;info@federweb.com;
Ristoranti;Shi's;Via Brusafiera ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5210;45.95 12.65;info@federweb.com;
Porti, Darsene e Servizi Portuali        Ristoranti;Ristorante San Rocco di Catefood S.r.l.;Strada per Lazzaretto ,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-3302;45.60 13.75;info@federweb.com;
Ristoranti;Autogrill Brugnera Sud;Km. ., Autostrada A,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6277;45.94 12.55;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Zorzini Michela;Riva Garibaldi /C,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-802;45.6 13.39;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria al Cacciatore di Ellero Patrizia;Via Sottomonte ,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7406;45.99 13.37;info@federweb.com;
Ristoranti;Fast Eat Italy S.r.l.;Km. ., Autostrada A,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6277;45.94 12.55;info@federweb.com;
Ristoranti;Casa Oberrichter;Via Superiore , Malborghetto;33010;MALBORGHETTO VALBRUNA ;(UD) ;    FRIULI VENEZIA GIULIA;0428-418;46.50 13.44;info@federweb.com;
Ristoranti;Comar Fabio;Via del Fante ,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4671;46.4 13.01;info@federweb.com;
Ristoranti;Old Wild West;Via Pierpaolo Pasolini ,;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6717;46.02 13.28;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Da Gardo;Frazione Tiveriacco ,;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9594;46.1 13.05;info@federweb.com;
Ristoranti;Da Gigi Marchetto;Via Casa Bianca ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-4283;45.67 13.07;info@federweb.com;
Ristoranti;Wok-Sushi;Via Arturo Malignani ,;33050;PRECENICCO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-5870;45.79 13.0;info@federweb.com;
Ristoranti;Al Ponte;Piazza Chiavris ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4807;46.07 13.23;info@federweb.com;
Ristoranti;Le Casette;Via Ospedale Vecchio ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-17772;45. 12.66;info@federweb.com;
Ristoranti - Self Service e Fast Food;Autogrill Zugliano Est;Autostrada A Palmanova Tarvisio ,;33050;POZZUOLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5604;46.00 13.2;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Bar Trattoria Lanterna;Via Sterpo,;33061;RIVIGNANO TEOR ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7751;45.88 13.0;info@federweb.com;
Ristoranti;Zago;Via San Giuseppe , Laipacco;33100;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-15739;46.14 13.21;info@federweb.com;
Ristoranti;Mea Culpa;Via Giulia ,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-5776;45.65 13.79;info@federweb.com;
Ristoranti;Al Civicosei;Via del Toro ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24107;45.65 13.77;info@federweb.com;
Ristoranti;U Sushi;Via Montereale ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5508;45.97 12.64;info@federweb.com;
Ristoranti;Biemme Food Srl;Via Manin Daniele ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-263;46.06 13.23;info@federweb.com;
Ristoranti;Pontello Sonia;Piazza Plebiscito ,;33092;CAVASSO NUOVO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-770;46.1 12.7;info@federweb.com;
Ristoranti;Paolino l'Arte Dello Spiedo;Viale xx Settembre ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6398;45.65 13.77;info@federweb.com;
Ristoranti;La Locanda Del Ficchio;Via Roma ,;34077;RONCHI DEI LEGIONARI ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4749;45.82 13.50;info@federweb.com;
Ristoranti;Balkan Express di Stojanovic Milana;Androna s. Vito ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5023;45.81 13.51;info@federweb.com;
Ristoranti;Bianco e Rosso;Piazzale xx Settembre ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2474;45.95 12.65;info@federweb.com;
Ristoranti;Arzhavitina Maryna;Piazzale Carnia ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-0161;46.07 13.21;info@federweb.com;
Ristoranti;Arzhavitina Maryna;Via dei Castelli ,;33040;FAEDIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7288;46.15 13.34;info@federweb.com;
Ristoranti;Vecchia Osteria Alla Pieve di Fumei Alessandro;Via della Chiesa ,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;331-50591;46.42 13.00;info@federweb.com;
Ristoranti;Ego;Via Felice Venezian ,;34124;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;333-68949;45.64 13.76;info@federweb.com;
Ristoranti;Kappa S.r.l.;Via Belpoggio ,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3134;45.64 13.7;info@federweb.com;
Ristoranti;Trattoria al Pozzo di Gustini Pierpaolo;Località San Lorenzo,;34018;SAN DORLIGO DELLA VALLE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2282;45.62 13.85;info@federweb.com;
Ristoranti;Lagardere Food Services S.r.l.;Piazza della Liberta' ,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-4212;45.6 13.77;info@federweb.com;
Ristoranti;Bedrhan Kebab Srl;Via Giulia ,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-51996;45.65 13.79;info@federweb.com;
Alberghi        Ristoranti;Sporting;Via Aldo Moro ,;33072;CASARSA DELLA DELIZIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8711;45.95 12.83;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria Cevraia;Via San Marco , Castions;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-970;45.9 12.79;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria al Colovrat;Frazione Clabuzzaro ,;33040;DRENCHIA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7211;46.17 13.64;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Alla Casasola;Via Piave ,;33085;MANIAGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-5402;46.16 12.6;info@federweb.com;
Ristoranti;Ronciade S.r.l.;Piazzale Martiri della Libertà , Piancavallo;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6550;46.11 12.52;info@federweb.com;
Ristoranti;L'Approdo;Via Giosue Carducci ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6334;45.6 13.77;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Anticha Trattoria Perez;Via Ippolito Nievo ,;33010;COLLOREDO DI MONTE ALBANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8898;46.16 13.13;info@federweb.com;
Ristoranti;Traxtorm di Lauritano Mattia & c. s.a.s.;Via Nazionale , Tiveriacco;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;339-48151;46.18 13.05;info@federweb.com;
Alberghi        Ristoranti;Ca' Malvani;Piazza Cecchini ,;33075;CORDOVADO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6905;45.85 12.88;info@federweb.com;
Alberghi        Ristoranti;Albergo al Sole;Via Camillo Benso Conte di Cavour , Fusine in Valromana;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-610;46.4 13.65;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Alla Pineta;Strada s. Anna , Spessa;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7160;46.04 13.46;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Alla Pineta;Strada di Sant'Anna ,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7160;46.04 13.46;info@federweb.com;
Ristoranti;Ristorante Pizzeria da Piero di Tommasini Lorena;Localita' Belvedere ,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-820;45.67 13.38;info@federweb.com;
Ristoranti;Sapori Greci;Via di Crosada ,;34121;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-32205;45.64 13.76;info@federweb.com;
Ristoranti;Ristorante Luc di Piti;Snc, Via Villaorba,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2344;46.0 13.22;info@federweb.com;
Ristoranti;Al Zuc;Via del Ciuch ,;33010;PAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6603;46.14 13.18;info@federweb.com;
Ristoranti;Nuovo Savron;Via Elisa Baciocchi ,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2255;45.64 13.76;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria-Bar Alla Posta di Chiabai Stefano;Frazione Scrutto ,;33040;SAN LEONARDO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7230;46.1 13.52;info@federweb.com;
Ristoranti;Matiz Elisabetta;Via della Sella ,;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-6535;46.50 13.55;info@federweb.com;
Ristoranti;Albergo Ristorante Grizzino;Via Stazione ,;33086;MONTEREALE VALCELLINA ;(PN) ;    FRIULI VENEZIA GIULIA;0427-7975;46.15 12.65;info@federweb.com;
Ristoranti;Al Comune Rustico;Via Fontana ,;33022;ARTA TERME ;(UD) ;    FRIULI VENEZIA GIULIA;0433-922;46.47 13.02;info@federweb.com;
Ristoranti;Al Bosco;Strada della Rotta ,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-801;45.67 13.42;info@federweb.com;
Ristoranti;Ai Fiori;Piazza Attilio Hortis ,;34124;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3006;45.64 13.76;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Orlando Carlo;Via ii Dicembre , Cergneu;33045;NIMIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7900;46.21 13.31;info@federweb.com;
Ristoranti - Trattorie ed Osterie;La Zucule;Frazione Villanova delle Grotte , Villanova delle Grotte;33010;LUSEVERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7870;46.25 13.28;info@federweb.com;
Ristoranti;Zoe Food;Via Felice Venezian ,;34124;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24604;45.64 13.76;info@federweb.com;
Ristoranti;Officina Del Gusto;Via dei Calzolai ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-15936;46.06 13.23;info@federweb.com;
Gastronomie, Salumerie e Rosticcerie        Ristoranti;Dedej Julian;Via dei Martiri ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6892;46.10 13.21;info@federweb.com;
Ristoranti;Spaghetteria  e  Pizzeria da Franco;Viale Ungheria /A,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5062;46.05 13.24;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Ristorasi Srl Semplificata a Socio Unico;Via Cuneo ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5011;46.08 13.24;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Sale e Pepe;Frazione Stregna ,;33040;STREGNA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7241;46.12 13.57;info@federweb.com;
Ristoranti;La Grande Muraglia di Zhou Pinshu;Via Galoppat ,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6207;45.87 12.61;info@federweb.com;
Ristoranti;Eureka 2000 Srl;Piazza Diacono Paolo ,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7342;46.09 13.43;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Vecchia Roma Srls;Viale Miramare /,;34136;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;328-06846;45.6 13.74;info@federweb.com;
Ristoranti;Sen Pordenone S.r.l.;Via Maestri del Lavoro ,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9541;45.94 12.72;info@federweb.com;
Ristoranti;Idon Brugnera;Via Villa Varda ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6233;45.89 12.53;info@federweb.com;
Ristoranti;I Principi S.r.l.;Via s. Pietro , Valvasone;33098;VALVASONE ARZENE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-891;45.99 12.86;info@federweb.com;
Ristoranti;Ristorante la Vela di Bitud Caterina;Via dell' Agraria ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7120;45.79 13.53;info@federweb.com;
Ristoranti;Bracerie Venete;Via della Madonnina ,;34131;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7650;45.64 13.77;info@federweb.com;
Ristoranti;Villaverde Resort;Via delle Acacie ,;33034;FAGAGNA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-16107;46.12 13.0;info@federweb.com;
Ristoranti;Adama Srl;Via della Cassa di Risparmio ,;34121;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7676;45.65 13.77;info@federweb.com;
Ristoranti;Pieffe Srl;Riva Grumula ,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3137;45.6 13.75;info@federweb.com;
Ristoranti;Altogradimento;Piazza Biagio Marin,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-8763;45.67 13.38;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Alla Posta;Via Roma ,;33046;PULFERO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7250;46.17 13.48;info@federweb.com;
Ristoranti;Da Pozzo;Piazzale Gio Batta Cella ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17463;46.05 13.22;info@federweb.com;
Ristoranti;Malga Montasio;Localita Sella Nevea, Sella Nevea;33010;CHIUSAFORTE ;(UD) ;    FRIULI VENEZIA GIULIA;334-62802;46.3 13.47;info@federweb.com;
Ristoranti;Roadhouse Grill Italia S.r.l.;Via Nazionale ,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-422;46.10 13.23;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Antica Osteria la Torre;Piazza Castello , Valvasone;33098;VALVASONE ARZENE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8995;45.99 12.86;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria al Duomo;Piazza Duomo ,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7819;45.95 12.50;info@federweb.com;
Ristoranti;Missio Luigi;Snc, Localita' Baiana,;33050;TORVISCOSA ;(UD) ;    FRIULI VENEZIA GIULIA;335-52441;45.8 13.28;info@federweb.com;
Ristoranti;Villaverde Hotel & Resort;Via delle Acacie ,;33034;FAGAGNA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8126;46.12 13.0;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria All'America;Via d'Annunzio Gabriele ,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;335-61737;45.59 13.76;info@federweb.com;
Gastronomie, Salumerie e Rosticcerie        Ristoranti;Ortofficina;Via Aquileia ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-263;46.06 13.24;info@federweb.com;
Ristoranti;Gran Osteria Tre Noci;Frazione Sistiana ,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2992;45.76 13.63;info@federweb.com;
Ristoranti;Reznic Senka;Via Caduti sul Lavoro ,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7642;45.63 13.77;info@federweb.com;
Ristoranti;Sushi Yko;Via della Madonnina ,;34131;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7672;45.64 13.77;info@federweb.com;
Ristoranti;Zetaelle di Zonta Leonardo & c. s.a.s.;Via Miramare ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;338-95534;45.68 13.1;info@federweb.com;
Ristoranti;Autogrill Porcia Nord;Km. ., Autostrada A,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9245;45.94 12.60;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Sociale;Localita Gabrovizza , Gabrovizza San Primo;34010;SGONICO ;(TS) ;    FRIULI VENEZIA GIULIA;040-2291;45.72 13.72;info@federweb.com;
Ristoranti;Taco Mania;Via dei Celti ,;33080;ROVEREDO IN PIANO ;(PN) ;    FRIULI VENEZIA GIULIA;331-86085;46.00 12.62;info@federweb.com;
Ristoranti;Fast Eat Italy S.r.l.;Km. ., Autostrada A,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9245;45.94 12.6;info@federweb.com;
Ristoranti;Quattropuntozero;Piazza della Repubblica , Villanova;33080;PRATA DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6050;45.86 12.57;info@federweb.com;
Ristoranti;Emme Snc di Vassallo Marco & c.;Via del Toro ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24107;45.65 13.77;info@federweb.com;
Ristoranti;L'Anima Dal Louc;Piazza San Pellegrino , Navarons;33092;MEDUNO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-865;46.22 12.75;info@federweb.com;
Ristoranti;Sapore di Mare;Strada Statale  /C,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2088;45.76 13.6;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Antica Osteria al Ponte;Via Tagliamento ,;33038;SAN DANIELE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17986;46.15 13.00;info@federweb.com;
Ristoranti;C&c Group Ospitalita' Italiana Srl;Via Galoppat ,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6282;45.86 12.62;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Angeli Alessandro;Localita' Vals ,;33020;CAVAZZO CARNICO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-934;46.39 12.86;info@federweb.com;
Ristoranti;La Vita e' Bella;Snc, Localita' Alberoni,;34079;STARANZANO ;(GO) ;    FRIULI VENEZIA GIULIA;389-50726;45.76 13.51;info@federweb.com;
Ristoranti;Heaven Steak And Beer;Via Pracchiuso ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;329-67507;46.06 13.2;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Stara Baba;Via Clenia ,;33049;SAN PIETRO AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;347-94105;46.13 13.48;info@federweb.com;
Ristoranti;La Brigata da Niki Puricelli;Via Milano /B,;34122;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-23354;45.65 13.77;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Barcaneta Snc;Piazza Marii ,;33050;MARANO LAGUNARE ;(UD) ;    FRIULI VENEZIA GIULIA;0431-674;45.76 13.16;info@federweb.com;
Ristoranti;Birrificio Friulano S.r.l.s.;Via Nazionale ,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7432;45.96 13.41;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Ostaria Porta Del Mar;Via Porto del Friuli ,;33050;MARANO LAGUNARE ;(UD) ;    FRIULI VENEZIA GIULIA;0431-6400;45.76 13.16;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria da Gino;Frazione Sistiana ,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-46127;45.77 13.62;info@federweb.com;
Ristoranti;Antica Aquileia Ristorante Pizzeria;Snc, Strada Statale Aquileia Grado,;33051;AQUILEIA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-9188;45.75 13.37;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Awwad Hussein;Via Nazario Sauro ,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6083;45.91 12.53;info@federweb.com;
